MvaluesInNoise	DvaluesInNoise
-4.17746655045493	5436
2	120
0.0634043576754561	862
-2.21124163315756	10206
0.442306934371536	832
0.747406906571329	1084
-0.298070883409949	1265
7.083000565676	6729
7.9149600255844	6249
2.76553474636298	29
-2.39854937649027	94
2.32192809488736	4
-0.770518153877233	24
-4.82856223492356	1124
0.85913746416015	35
3.6070826195193	13031
2.63193322515203	12279
2	6
3.48534681746272	16421
5.58496250072116	23.5
3.85798099512757	27
0.099326489473018	1442
-0.143168341256454	39979
-0.298421342002733	182
-0.90055921250528	1412
1.02236781302845	33
-4.11943523098862	344
0.186843221998581	267
1.6724253419715	70
2.3998428223475	740
1.28202712117684	7023
0.963144779140471	3520
2	9
2.40477389955464	27457
-0.680536735735265	8680
-0.0293259207041713	518
1.29768054864069	35
-0.874603284664205	3259
-0.393087048967107	8385
-0.251371488308214	197
-3.85561009066482	1415
3.0245774606853	7737
-1.31868972082082	6665
0.25733449531192	3417
-2.16992500144231	7
2	1.5
0.551169721276735	4274
-0.633348445844432	2160
0.813988014390051	47
1.85233114101949	44110
1.07029809026032	4141
1.28071579407897	26539
0.311659759433535	34
3.82442843541655	395
3.15183454445942	62456
3.39702955012808	1249
-3.41576114698032	4217
-3.5086005400656	4900
-1.85220915784186	744
-6.14338321398982	1115
-2	1.5
0.568082564587147	9818
0.815378119508361	55935
1.4594316186373	28
3.59375944895831	13277
0.277533975528909	7
-0.622257795467073	556
1.82597060022495	28
0.406320282177735	27
1.35629065688843	479
-1.65777161046093	1610
1	0.5
0.624115705551718	2138
3.34612259990015	2494
2.59528629245179	6203
-0.694292257570968	369
3.54214941718218	607
-2.12586604181144	9956
-0.943678585791049	4269
1.85405565311431	6870
1.58496250072116	2
4.95419631038687	150
-0.439532061199592	26
1.29730496214578	20122
-0.289072266735317	804
-2.44814581109078	312
1.8073549220576	5
-3.4594316186373	10
0.267728281824842	73
1.71509064893705	3080
1.75447955785398	311
-0.977279923499917	217
-0.110644063683993	11
-0.131705679211822	13
-0.203214319652583	18
-1	4
0.549338590990435	57
0.174292526048533	80
1.44837120908564	10023
1.71723762736129	2645
3.46655856699566	5168
0	0
-0.338364425922922	8434
0.652076696579693	4
-1.3078617635258	2829
1.2588501667453	11905
1.43143797118814	10317
-0.245251904721354	779
-0.700281095974483	2623
-2.41001942451222	233
0.322816895973766	1058
1.26303440583379	7
0.912537158749661	45
-1.70570401239653	2237
1.72582503656101	210
1.53775665753198	1833
-1.20163386116965	13
0.212198214760431	1781
-2.00813204584569	5882
0.415037499278844	2
-1	2
3.25633975325979	77
-10.6960981709559	1658
3.8073549220576	6.5
1.79836613883035	25137
5.96000193206808	980
9.17099803610754	4028
-6.63032780493008	1471
-5.01878347567942	1948
-3.02615228785597	293
-2	9
0.0305848612154584	125
3.16992500144231	8
1.74565193728161	5300
0.318933447438451	2959
2.49217689726042	458
-2.40808473863708	56
-6.85798099512757	57.5
1.57797607040505	137
1.11547721741994	7
-1.3536369546147	14
0.314726277978048	891
-7.40087943628218	336
5.29768054864069	575
-3.58901843547267	1633
1	2
1	0.5
4.16992500144231	8.5
4.04071352201164	48167
3.25225044753702	11667
-1.06308452726816	719
0.333427735103757	2976
7.03342300153745	650
-0.584962500721156	1
0.678071905112638	6
-1	10
4.32192809488736	9.5
1.42644684512553	11506
-0.259440014232155	1887
10.1724275086455	1153
4.62414268220045	1325
3.54596962885396	41887
2.16992500144231	7
-1	1
2.48393258048991	317
0.222392421336448	2
1.13750352374994	6
-0.534209200256521	242
1.65525094437484	488
3.64081573545467	218
0.49013543638758	2705
5.95419631038687	30.5
3.48542682717024	1734
1.35325442908127	255
1.15733653774809	1495
0.110566236313267	1318
-0.841921797273566	2703
-0.00851867956812338	7
-0.192645077942396	1
3.32192809488736	4.5
4.72722232000281	994
5.04927737357736	4592
-7.98868468677217	126.5
0.289506617194985	2
1.31259023030803	46
0.584962500721156	5
1.54748779530249	75
0.763727989657346	164
0.0605415419350509	6
-0.0027356478609638	61
-0.679901802082632	2431
-2.09159185202225	4218
4.79741211881003	1394
0.359736187039501	465
3.8073549220576	6.5
-0.472881573851128	448
4.37257725274009	8497
-0.584962500721156	1
-0.584962500721156	1
1.08888687512825	11883
2	1.5
1.46948528330122	23
-0.0166842521702086	140
0.781078842300004	2684
1.61828257392118	1329
1	3
0.580255994844861	34457
2.37975645870491	3372
-1.10612835086134	604
1.52356195605701	15
3.50982249967816	10391
-1.23536424910709	1521
1.97862634920743	150
2	1.5
-1.58496250072116	8
4.57866150570629	8975
0.736965594166206	6
-0.595998020815456	18808
