Name	MvalueInSignal	DvalueInSignal	ProbDiffExprn
IGSF21	Inf	Inf	1
AX747631	Inf	Inf	1
KLHDC7A	Inf	Inf	1
PAX7	Inf	Inf	1
TAS1R2	Inf	Inf	1
ALDH4A1	Inf	Inf	1
IFFO2	Inf	Inf	1
AX747516	Inf	Inf	1
UBR4	Inf	Inf	1
KIAA0090	Inf	Inf	1
MRTO4	Inf	Inf	1
AKR7A3	Inf	Inf	1
AKR7A2	Inf	Inf	1
PQLC2	Inf	Inf	1
CAPZB	Inf	Inf	1
AX748283	Inf	Inf	1
MINOS1	Inf	Inf	1
NBL1	Inf	Inf	1
HTR6	Inf	Inf	1
TMCO4	Inf	Inf	1
RNF186	Inf	Inf	1
OTUD3	Inf	Inf	1
PLA2G2E	Inf	Inf	1
PLA2G2A	Inf	Inf	1
PLA2G5	Inf	Inf	1
PLA2G2D	Inf	Inf	1
UBXN10	Inf	Inf	1
VWA5B1	Inf	Inf	1
LOC339505	Inf	Inf	1
CAMK2N1	Inf	Inf	1
MUL1	Inf	Inf	1
FAM43B	Inf	Inf	1
CDA	Inf	Inf	1
PINK1	Inf	Inf	1
DDOST	Inf	Inf	1
KIF17	Inf	Inf	1
SH2D5	Inf	Inf	1
HP1BP3	Inf	Inf	1
EIF4G3	Inf	Inf	1
ECE1	Inf	Inf	1
AX747766	Inf	Inf	1
LOC100506801	Inf	Inf	1
AK098438	Inf	Inf	1
BC127868	Inf	Inf	1
NBPF3	Inf	Inf	1
ALPL	Inf	Inf	1
RAP1GAP	Inf	Inf	1
USP48	Inf	Inf	1
LDLRAD2	Inf	Inf	1
HSPG2	Inf	Inf	1
CELA3B	Inf	Inf	1
CELA3A	Inf	Inf	1
LINC00339	Inf	Inf	1
CDC42	Inf	Inf	1
WNT4	Inf	Inf	1
ZBTB40	Inf	Inf	1
EPHA8	Inf	Inf	1
C1QA	Inf	Inf	1
C1QC	Inf	Inf	1
C1QB	Inf	Inf	1
EPHB2	Inf	Inf	1
AK025975	Inf	Inf	1
LOC729059	Inf	Inf	1
KDM1A	Inf	Inf	1
LUZP1	Inf	Inf	1
HTR1D	Inf	Inf	1
HNRNPR	Inf	Inf	1
ZNF436	Inf	Inf	1
C1orf213	Inf	Inf	1
ASAP3	Inf	Inf	1
BC038455	Inf	Inf	1
E2F2	Inf	Inf	1
AX748204	Inf	Inf	1
ID3	Inf	Inf	1
MDS2	Inf	Inf	1
RPL11	Inf	Inf	1
TCEB3	Inf	Inf	1
LOC100506963	Inf	Inf	1
PITHD1	Inf	Inf	1
LYPLA2	Inf	Inf	1
GALE	Inf	Inf	1
HMGCL	Inf	Inf	1
FUCA1	Inf	Inf	1
CNR2	Inf	Inf	1
PNRC2	Inf	Inf	1
SRSF10	Inf	Inf	1
MYOM3	Inf	Inf	1
IL22RA1	Inf	Inf	1
IL28RA	Inf	Inf	1
