#ucsc_id	geneSymbol	Sample_3	Sample_4	Sample_6	Sample_7	Sample_8	Sample_9	Sample_34	Sample_35	Sample_36	Sample_38	Sample_39	Sample_40	Sample_62	Sample_63	Sample_64	Sample_67	Sample_68	Untreated1	Untreated2	HighDose1	HighDose2	Survivors1	Survivors2
uc001apg.1	BC113958																							
uc001aph.1	RERE																							
uc001api.2	ENO1																							
uc001apj.2	ENO1																							
uc001apm.3	CA6																							
uc001apo.3	SLC2A5																							
uc001app.4	SLC2A5																							
uc001apq.1	GPR157																							
uc001apr.3	GPR157																							
uc001aps.3	GPR157																							
uc001apt.3	H6PD																							
uc001apv.3	SPSB1																							
uc001apw.3	SLC25A33																							
uc001apy.3	TMEM201																							
uc001aqa.2	PIK3CD																							
uc001aqb.4	PIK3CD																							
uc001aqc.4	C1orf200																							
uc001aqe.4	PIK3CD																							
uc001aqf.3	CLSTN1																							
uc001aqh.3	CLSTN1																							
uc001aqi.3	CLSTN1																							
uc001aqk.1	CTNNBIP1																							
uc001aql.1	CTNNBIP1																							
uc001aqm.3	LZIC																							
uc001aqo.3	LZIC																							
uc001aqp.3	NMNAT1																							
uc001aqq.3	RBP7																							
uc001aqr.4	UBE4B																							
uc001aqs.4	UBE4B																							
uc001aqu.3	UBE4B																							
uc001aqv.4	KIF1B																							
uc001aqw.4	KIF1B																							
uc001aqx.4	KIF1B																							
uc001aqy.3	KIF1B																							
uc001aqz.3	KIF1B																							
uc001ara.3	KIF1B																							
uc001arb.3	KIF1B																							
uc001arc.3	PGD																							
uc001are.3	APITD1																							
uc001arf.3	APITD1-CORT																							
uc001ari.3	CORT																							
uc001arj.3	DFFA																							
uc001ark.3	DFFA																							
uc001arl.3	PEX14																							
uc001arm.1	PEX14																							
uc001arn.3	PEX14																							
uc001aro.3	CASZ1																							
uc001arp.1	CASZ1																							
uc001arq.1	CASZ1																							
uc001arr.2	C1orf127																							
uc001ars.2	C1orf127																							
uc001art.3	TARDBP																							
uc001aru.3	MASP2																							
uc001arv.3	MASP2																							
uc001arw.3	MASP2																							
uc001arx.2	MASP2																							
uc001arz.1	SRM																							
uc001asa.3	EXOSC10																							
uc001asb.3	EXOSC10																							
uc001asc.3	MTOR																							
uc001asd.3	MTOR																							
