id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
EZH1	355.624233959052	211.861282682236	528.13977549123	2.49285649933202	1.31779983683635	0.554375953269384	1
PTTG1IP	5317.58314829533	7199.99089557947	3058.69385155435	0.424819127678657	-1.23507936926816	0.554376449310711	1
GRK1	34.4271594327383	17.193376582708	55.1076988527747	3.20517023446101	1.68040098395493	0.554405349249513	1
PCOLCE	0.414754701362348	0.693253116443045	0.0805566032655115	0.116200852696967	-3.10530743942227	0.554431104639815	1
PCDHB3	3.17718556980711	0.222701481758761	6.72256647546513	30.1864469979023	4.9158290537873	0.554756304002752	1
HK2	1547.67430909343	783.614067865953	2464.5465985664	3.14510254426416	1.65310705611557	0.554788493380074	1
AK302238	4.17562900545174	0.472356052153412	8.61955654940973	18.2480070068209	4.18966700061234	0.554853465417561	1
TBC1D22B	669.161589865017	972.378578945025	305.301202969006	0.313973599974035	-1.67128483764227	0.554861023656086	1
FAM189A1	416.328283350787	304.652099659402	550.339703780448	1.80645301442439	0.853159730973809	0.554861045021237	1
CEP120	1089.95760404832	377.194908327179	1945.27283891368	5.15720863661911	2.36659041143342	0.554944100613442	1
ETV1	766.031463917519	659.669093474247	893.666308449445	1.35471908156681	0.437993721211974	0.554967240119841	1
XKR7	8.36480731030286	13.8705521849572	1.7579134607176	0.126737092891232	-2.98008926655403	0.55511109065895	1
NAP1L2	1.7879649562986	2.6193478072906	0.790305535108194	0.301718440334073	-1.72872522152001	0.555139643935684	1
RFC3	1112.41402314265	743.273086701058	1555.38314687255	2.09261330014781	1.06530573658029	0.555143901714513	1
FRG1B	1026.55042314636	1672.05634901116	251.943312108598	0.1506787209998	-2.73045240240843	0.555255625769314	1
AX747901	2.01917565920127	1.28512394390366	2.90003771755841	2.2566210296801	1.17416415689597	0.555268834251038	1
CLN6	476.639331868573	146.996870696697	872.210285274824	5.93352961284789	2.56889056009922	0.555371040179023	1
AK3	261.213531002208	180.072069831692	358.583284406828	1.99133205244981	0.993733808943834	0.555381348486846	1
MIR548AE2	2853.92583796609	1513.21684659642	4462.77662760969	2.94919835028768	1.56032285507285	0.555463857566006	1
PRPF31	700.170259630188	768.014086447933	618.757667448894	0.805659268973373	-0.311758274615296	0.555496554551502	1
MED20	1805.06793830142	2652.58856981099	788.043180489933	0.297084587281504	-1.75105433464614	0.555506604239477	1
TSPAN14	1029.55687076972	1589.93434328743	357.10390374848	0.224602924803872	-2.15455138009378	0.555558436551086	1
C3orf77	24.8024240777181	38.670448933598	8.16079425066227	0.211034380921602	-2.24445003839823	0.555666998675989	1
IRF1	107.872555658348	183.174658822593	17.5100318612527	0.0955919993180461	-3.38696631453103	0.555673336852217	1
RUVBL2	750.359464051701	902.279497990448	568.055423325204	0.629578112536497	-0.66754270887668	0.555689815547607	1
TFB1M	438.707194556726	184.074432760321	744.266508712412	4.04329106194506	2.01553006176205	0.555693213950362	1
HSD17B4	3702.44980290802	2401.74451853331	5263.29614415768	2.19144713500662	1.13188387667972	0.555717294967457	1
AX747795	1.50045723311749	2.75083826071539	0	0	-Inf	0.555731267610831	1
DUX4	56.2939211970295	89.1666109601425	16.8466934812939	0.18893499820044	-2.40403812448242	0.555748763938356	1
C18orf32	986.381922817895	313.037919056296	1794.39472733181	5.7321960634715	2.51908795624356	0.555822950135205	1
MRC2	32.4238125041743	42.9445419552797	19.7989371628478	0.461035006112428	-1.1170517971017	0.555846255489584	1
LOC389765	306.302212648366	155.263527013504	487.548635410201	3.14013628820758	1.65082717633163	0.555849852576468	1
AK055853	3.36479899957089	5.31408341838811	1.02565769699024	0.193007451377447	-2.37327154864905	0.555899096587624	1
LOC145845	11.4157587377637	13.3518218143099	9.09248304590836	0.68099194045291	-0.554290370860623	0.555904149819636	1
NUDT12	24.815780650973	34.1023334751417	13.6719172619707	0.400908555771897	-1.31865488857858	0.555927285232837	1
SLC2A13	352.995321832794	124.563201039627	627.113866784593	5.03450346129986	2.33184949635617	0.556013338916239	1
TNFSF12	109.039576647188	24.0511844915351	211.02564723397	8.77402305521549	3.13323849728504	0.556031381561515	1
C3orf20	145.668074650755	33.4766030960832	280.297840516362	8.37294750939522	3.06573558079544	0.556139354619197	1
HLA-DQB1	83.4320522847966	123.694883204855	35.1166551807266	0.283897395517717	-1.81655848108715	0.556151425401702	1
SPAG9	8638.97802876598	11789.0047039184	4858.94601858305	0.412159138164399	-1.27872661303233	0.556164606856457	1
INSL6	81.241667227771	120.432503922208	34.2126631944466	0.284081639758531	-1.81562250195641	0.556171906629809	1
OPRK1	14.5932235015573	23.2268637883008	4.23285515746517	0.18223963407394	-2.45609133956936	0.556285255439529	1
MATN2	514.491926966958	732.553000082668	252.818639228106	0.345119928796382	-1.53483031092679	0.556305778214319	1
CRTC1	284.170842235384	302.953280741987	261.631916027461	0.863604828396896	-0.211556785425989	0.556309551616372	1
CPAMD8	66.6508192040821	98.7336042866546	28.1514771049952	0.285125589290376	-1.81033057162115	0.556346785705211	1
AK311257	4.33785919830924	6.08515963037404	2.24109867983147	0.368289217696943	-1.44108893442097	0.556499970034644	1
PLEKHH3	25.0525261430294	32.6361455266679	15.9521828826631	0.488788814525544	-1.03271682407845	0.55656268921407	1
DNAJB6	4008.7387992345	4838.52878253293	3012.99081927637	0.622708049222164	-0.683372167048689	0.55656839005704	1
KCNIP1	1199.4855165958	1771.58200781673	512.969727130693	0.289554604227929	-1.78809265748298	0.556693576420108	1
CLUL1	27.7189880320013	44.0776471179092	8.08859712891181	0.183507915186002	-2.44608580319043	0.556782276249249	1
IL11RA	4.07699175547241	6.62698065450846	1.01700507662915	0.153464319521932	-2.70402482712511	0.55682469607516	1
DNTTIP2	6937.61022060079	5725.23898876888	8392.45569879909	1.46586993403462	0.551757099482745	0.556920951152795	1
CPOX	4511.58614353445	2560.40395079722	6853.00477481914	2.67653265129721	1.42036525234551	0.556928466112149	1
NUBPL	433.772413529051	224.017110756707	685.478776855865	3.05993937043643	1.61350306767699	0.557103330507778	1
BC031939	1.0858285844265	1.26496728947049	0.870862138373706	0.688446369817395	-0.538583822534471	0.557245484366539	1
PLAA	3010.29824274013	1435.6859284892	4899.83301984125	3.41288642774221	1.77099240598107	0.557252115528343	1
TNNI3	1.70936113851559	0.197233659452728	3.52391411339103	17.8666974144726	4.15920107766655	0.557282384607342	1
PVRL3	881.018333967102	1111.13909815327	604.873416943703	0.544372363414278	-0.87733426863553	0.557310418106072	1
ZYX	2408.02953268596	3729.84503240437	821.850933023869	0.220344525277523	-2.18216704330532	0.557362869590261	1
LOC100507377	68.8225437798639	97.0198837936309	34.9857357633436	0.360603768994004	-1.47151361913612	0.557449502494164	1
CNTNAP3	227.932782630675	294.9780419067	147.478471499445	0.499964236477276	-1.00010319540443	0.557460941309396	1
LMBRD1	906.707839334577	474.715681320837	1425.09842895107	3.00200411535998	1.58592595470855	0.557528000452411	1
CDK2	1624.24997270912	446.765799803504	3037.23098019587	6.79826204586766	2.76516597308692	0.557635812573222	1
LOC100288181	4.60029518361302	6.67961929629538	2.10510624839418	0.31515362702807	-1.66587282842592	0.557637926909905	1
AK124806	3.01000584623783	4.72549510007001	0.951418741639217	0.20133736708882	-2.31231314165051	0.557661455728676	1
HN1L	1849.48087891332	760.394053457549	3156.38506946024	4.15098599878313	2.05345406575983	0.557671923842634	1
MORC3	402.167681009336	562.254977559853	210.062925148715	0.373607942183764	-1.42040297060172	0.557687000169199	1
HLA-DPA1	2773.65467184356	1724.57092689402	4032.555165783	2.33829476242284	1.22545680561002	0.557725878973207	1
FAM126A	2662.14042303424	1330.31697443233	4260.32856135653	3.20249131841265	1.67919465959112	0.55776200393151	1
SP5	2.52728312671402	4.14364081737398	0.587653897922074	0.14182066540567	-2.81786032460889	0.55776331686215	1
LOC641365	18.8237048354759	29.7128007213104	5.75678977247454	0.193747800029692	-2.36774816594189	0.557772244715258	1
LSG1	751.93659517657	1048.71610453295	395.801183948918	0.377414995572316	-1.40577634919324	0.55779040864962	1
UTP14A	382.253303891642	536.725527254826	196.886635855822	0.366829274662661	-1.44681931766282	0.557851132432519	1
SPATA21	1210.91126004389	654.958986410817	1878.05398840359	2.86743754551006	1.51976206382988	0.557857851690885	1
STK36	386.304604484549	121.789968893628	703.722167193655	5.77816197496764	2.53061064647907	0.557906263146053	1
HIST1H2BL	23.3522994879862	31.9580346435538	13.0254173013051	0.407578796586994	-1.2948490945477	0.557915717856256	1
ZC3H4	409.677754768545	389.712151549099	433.63647863188	1.11270966765645	0.154077208427508	0.55793966426435	1
SPPL2B	3377.6136163979	4829.7393298838	1635.06276021483	0.338540581289335	-1.56259931303474	0.557954640938325	1
ANGPT4	8.13488543966418	12.7278868238364	2.62328377865747	0.20610520936945	-2.27854712501023	0.557980703129087	1
ZNF630	485.819265155935	208.157139573596	819.013815854742	3.93459392040296	1.97621474646928	0.55804053851203	1
ZNF772	53.3899814993938	17.5233070715522	96.4299908128037	5.50295617254523	2.46020683858851	0.558112577382085	1
CNIH3	418.840042031467	626.776764900943	169.315974588096	0.270137605714939	-1.88823360423718	0.55814101261477	1
AX747836	4.04540571549984	6.75798919915955	0.790305535108194	0.116943888458194	-3.0961116271384	0.558146649057982	1
LOC339975	55.0765723411058	80.5186278941444	24.5461056774595	0.304850024390997	-1.7138284334632	0.558252726681128	1
AK074469	58.8977481586691	8.11860316880405	119.832722146507	14.7602635151534	3.88364657296666	0.558278394916763	1
FOLR3	1.13801929965971	0.0429414592866738	2.45211270810735	57.1036184806212	5.8355102625183	0.558285746873668	1
