id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
IQGAP1	31477.8681790134	62938.4943335002	17.2420245265537	0.000273950381386487	-11.8337977674222	6.91213989035802e-07	0.000142087675621172
MRFAP1	26539.7377500996	53052.380890229	27.0946099702986	0.000510714307551253	-10.9351959031423	7.08460986232838e-07	0.00014450407340898
PABPC3	21631.2502516595	43252.1552886031	10.3452147159322	0.000239183796666386	-12.029592721037	8.27414623389592e-07	0.000166280721570506
RBM3	10102.3008224807	20204.1090156892	0.492629272187248	2.43826279003298e-05	-15.3237868499364	8.3568286469781e-07	0.000166280721570506
OR6C3	673115.635520714	1345465.47883781	765.792203615076	0.000569165255935479	-10.7788647827228	8.5233399600787e-07	0.000166280721570506
OR6C75	673115.173216673	1345464.55422973	765.792203615076	0.000569165647067891	-10.7788637912979	8.52334744608471e-07	0.000166280721570506
OR6C65	673115.173216673	1345464.55422973	765.792203615076	0.000569165647067891	-10.7788637912979	8.52334744608471e-07	0.000166280721570506
EYA4	19506.6030512502	39005.3240341454	7.88206835499596	0.000202076730553398	-12.2728091768224	8.55407030152825e-07	0.000166280721570506
SNX24	9568.80112520847	19137.6022504169	0	0	-Inf	8.61419718396902e-07	0.000166280721570506
VAPA	10124.7121209873	20248.9316127024	0.492629272187248	2.43286550426302e-05	-15.3269839082485	8.65782109119765e-07	0.000166280721570506
ZC3H15	5356.32648396036	10712.6529679207	0	0	-Inf	8.80396406121509e-07	0.000167862248100501
MKI67	48509.4103090984	96942.7093956439	76.1112225529297	0.000785115487563934	-10.3148074948687	9.07177884316951e-07	0.000171724204979479
LOC641298	8713.41829433661	17426.0976447649	0.738943908280871	4.24044397859128e-05	-14.5254251501722	9.16525409219507e-07	0.000172254404052741
NUFIP2	9093.54207559536	18187.0841511907	0	0	-Inf	9.42256509961476e-07	0.000175834420497208
NAA15	7315.83527586371	14631.4242370913	0.246314636093624	1.68346315507143e-05	-15.8582083283098	9.65668340185824e-07	0.000178934263147672
LOC100170939	57517.4267609349	114962.92964813	71.9238737393381	0.000625626660345879	-10.6424103868382	1.00112338647106e-06	0.000184206703110675
PRKCA	70451.4367481398	140783.164583138	119.708913141501	0.000850307019990364	-10.199728530955	1.11005532286791e-06	0.000202831775384031
MAP1B	22751.3427232984	45487.413939159	15.2715074378047	0.000335730394746794	-11.5404092248034	1.13140383097429e-06	0.000203365388668837
DEK	44361.0916027908	88660.3582319221	61.8249736594996	0.000697323752040058	-10.4858837564264	1.13354837490965e-06	0.000203365388668837
LOC202181	12590.2924230739	25180.5848461479	0	0	-Inf	1.13616266852839e-06	0.000203365388668837
CALM1	16988.5836368244	33970.7630931103	6.40418053843422	0.000188520361490881	-12.3729920266895	1.16104523852648e-06	0.000206415015649384
PDE3A	59726.878104271	119312.371607424	141.38460111774	0.00118499531283261	-9.7209029320082	1.21061353969085e-06	0.000213782976217085
DCBLD2	66498.2402054632	132876.278868513	120.201542413688	0.000904612496957665	-10.1104124530315	1.23803830910837e-06	0.000217168426595063
GPR125	18969.5252603518	37934.8631718901	4.1873488135916	0.000110382599631846	-13.1451996114493	1.25758326620671e-06	0.000218183628814252
ZNFX1-AS1	18054.8983965323	36104.6241857065	5.1726073579661	0.000143267170746895	-12.769004321427	1.26041013909115e-06	0.000218183628814252
SMC3	16048.8931789509	32089.6579749108	8.12838299108958	0.000253302263222772	-11.9468524121489	1.30947750202929e-06	0.000225195895643103
